fiscal_year,agency_name,vendor_name,vendor_clean,vendor_zip,amount,fiscal_period,date,category
2022,"MARYLAND DEPARTMENT OF HEALTH, MDH",FRESH START CHURCH INC.,FRESH START CHURCH INC.,21060,66666.33,1,2022 Jan 01 12:00:00 AM,M00
2023,MARYLAND DEPARTMENT OF HEALTH,FRESH START CHURCH INC.,FRESH START CHURCH INC.,21060,33333.67,1,2023 Jan 01 12:00:00 AM,M00
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,FRIENDS MEETING SCHOOL,FRIENDS MEETING SCHOOL,21754,46681.33,1,2022 Jan 01 12:00:00 AM,R00
2023,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,FRIENDS MEETING SCHOOL,FRIENDS MEETING SCHOOL,21754,156038.96,1,2023 Jan 01 12:00:00 AM,S00
2023,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,FRIENDS MEETING SCHOOL,FRIENDS MEETING SCHOOL,21754,6680,1,2023 Jan 01 12:00:00 AM,614
2023,STATE DEPARTMENT OF EDUCATION,FRIENDS MEETING SCHOOL,FRIENDS MEETING SCHOOL,21754,4027.9,1,2023 Jan 01 12:00:00 AM,R00
2025,DEPARTMENT OF EMERGENCY MANAGEMENT,FRIENDS MEETING SCHOOL,FRIENDS MEETING SCHOOL,21754,46467.12,1,2025 Jan 01 12:00:00 AM,D52
2020,MARYLAND STATE DEPARTMENT OF EDUCATION,FRIENDSHIP ADVENTIST PRESCHOOL,FRIENDSHIP ADVENTIST PRESCHOOL,21090,32600,1,2020 Jan 01 12:00:00 AM,R00
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,FRIENDSHIP ADVENTIST PRESCHOOL,FRIENDSHIP ADVENTIST PRESCHOOL,21090,26560,1,2021 Jan 01 12:00:00 AM,R00
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,FRIENDSHIP ADVENTIST PRESCHOOL,FRIENDSHIP ADVENTIST PRESCHOOL,21090,47000,1,2022 Jan 01 12:00:00 AM,R00
2020,MARYLAND STATE DEPARTMENT OF EDUCATION,FULL GOSPEL ASSEMBLY OF GOD,FULL GOSPEL ASSEMBLY OF GOD,20678,27204.2,1,2020 Jan 01 12:00:00 AM,R00
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,FULL GOSPEL ASSEMBLY OF GOD,FULL GOSPEL ASSEMBLY OF GOD,20678,39839.72,1,2021 Jan 01 12:00:00 AM,R00
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,FULL GOSPEL ASSEMBLY OF GOD,FULL GOSPEL ASSEMBLY OF GOD,20678,79694.66,1,2022 Jan 01 12:00:00 AM,R00
2023,STATE DEPARTMENT OF EDUCATION,FULL GOSPEL ASSEMBLY OF GOD,FULL GOSPEL ASSEMBLY OF GOD,20678,34711.72,1,2023 Jan 01 12:00:00 AM,R00
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,GALILEE LUTHERAN PRESCHOOL,GALILEE LUTHERAN PRESCHOOL,21122,32500,1,2022 Jan 01 12:00:00 AM,R00
2019,MARYLAND STATE DEPARTMENT OF EDUCATION,GLA YOUTH CHURCH INC,GLA YOUTH CHURCH INC,21237,862123.71,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2020,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,GLA YOUTH CHURCH INC,GLA YOUTH CHURCH INC,21237,27132,1,2020 Jan 01 12:00:00 AM,614
2020,MARYLAND STATE DEPARTMENT OF EDUCATION,GLA YOUTH CHURCH INC,GLA YOUTH CHURCH INC,21237,1000081.24,1,2020 Jan 01 12:00:00 AM,R00
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,GLA YOUTH CHURCH INC,GLA YOUTH CHURCH INC,21237,601375.36,1,2021 Jan 01 12:00:00 AM,R00
2022,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,GLA YOUTH CHURCH INC,GLA YOUTH CHURCH INC,21237,18000,1,2022 Jan 01 12:00:00 AM,S00
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,GLA YOUTH CHURCH INC,GLA YOUTH CHURCH INC,21237,633967.97,1,2022 Jan 01 12:00:00 AM,R00
2023,STATE DEPARTMENT OF EDUCATION,GLA YOUTH CHURCH INC,GLA YOUTH CHURCH INC,21237,757288.28,1,2023 Jan 01 12:00:00 AM,R00
2024,STATE DEPARTMENT OF EDUCATION,GLA YOUTH CHURCH INC,GLA YOUTH CHURCH INC,21237,1000271.42,1,2024 Jan 01 12:00:00 AM,R00
2025,STATE DEPARTMENT OF EDUCATION,GLA YOUTH CHURCH INC,GLA YOUTH CHURCH INC,21237,1037691.08,1,2025 Jan 01 12:00:00 AM,R00
2026,STATE DEPARTMENT OF EDUCATION,GLA YOUTH CHURCH INC,GLA YOUTH CHURCH INC,21237,689915.21,1,2026 Jan 01 12:00:00 AM,R00
2021,"CRIME PREVENTION, YOUTH & VICTIM SRVCS",GLORIA DEI LUTHERAN CHURCH,GLORIA DEI LUTHERAN CHURCH,21012,27472.27,1,2021 Jan 01 12:00:00 AM,D21
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,GLYNDON UNITED METHODIST PRESCHOOL,GLYNDON UNITED METHODIST PRESCHOOL,21071,37500,1,2022 Jan 01 12:00:00 AM,R00
2009,MARYLAND STATE DEPARTMENT OF EDUCATION,GOD'S CHURCH INT'L DAY CARE,GOD'S CHURCH INT'L DAY CARE,20746,46089.13,1,2009 Jan 01 12:00:00 AM,Vendor Payment
2010,MARYLAND STATE DEPARTMENT OF EDUCATION,GOD'S CHURCH INT'L DAY CARE,GOD'S CHURCH INT'L DAY CARE,20746,50020.52,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2020,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,GOOD SHEPHERD CATHOLIC SCHOOL,GOOD SHEPHERD CATHOLIC SCHOOL,21903,28409,1,2020 Jan 01 12:00:00 AM,614
2020,MARYLAND STATE DEPARTMENT OF EDUCATION,GOOD SHEPHERD CATHOLIC SCHOOL,GOOD SHEPHERD CATHOLIC SCHOOL,21903,1600,1,2020 Jan 01 12:00:00 AM,R00
2022,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,GOOD SHEPHERD CATHOLIC SCHOOL,GOOD SHEPHERD CATHOLIC SCHOOL,21903,23300,1,2022 Jan 01 12:00:00 AM,614
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,GOOD SHEPHERD CATHOLIC SCHOOL,GOOD SHEPHERD CATHOLIC SCHOOL,21903,67970,1,2022 Jan 01 12:00:00 AM,R00
2026,DEPARTMENT OF HUMAN SERVICES,GOOD SHEPHERD CATHOLIC SCHOOL,GOOD SHEPHERD CATHOLIC SCHOOL,21903,1346.74,1,2026 Jan 01 12:00:00 AM,N00
2026,IAC ON SCHOOL CONSTRUCTION - CAPITAL,GOOD SHEPHERD CATHOLIC SCHOOL,GOOD SHEPHERD CATHOLIC SCHOOL,21903,23290,1,2026 Jan 01 12:00:00 AM,614
2026,STATE DEPARTMENT OF EDUCATION,GOOD SHEPHERD CATHOLIC SCHOOL,GOOD SHEPHERD CATHOLIC SCHOOL,21903,6744.4,1,2026 Jan 01 12:00:00 AM,R00
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,GOOD SHEPHERD LUTHERAN PRESCHOOL,GOOD SHEPHERD LUTHERAN PRESCHOOL,20877,68931.93,1,2022 Jan 01 12:00:00 AM,R00
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,GOOD SHEPHERD LUTHERAN PRESCHOOL,GOOD SHEPHERD LUTHERAN PRESCHOOL,21014,49414,1,2022 Jan 01 12:00:00 AM,R00
2023,STATE DEPARTMENT OF EDUCATION,GOOD SHEPHERD LUTHERAN PRESCHOOL,GOOD SHEPHERD LUTHERAN PRESCHOOL,20877,30322.6,1,2023 Jan 01 12:00:00 AM,R00
2012,DHMH-GENERAL ACCOUNTING,GOODWILL MENNONITE HOME,GOODWILL MENNONITE HOME,21536,3998505.32,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2013,DHMH-GENERAL ACCOUNTING,GOODWILL MENNONITE HOME,GOODWILL MENNONITE HOME,21536,4651842.69,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2016,DHMH-GENERAL ACCOUNTING,GOODWILL MENNONITE HOME,GOODWILL MENNONITE HOME,21536,5931638.6,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2017,"MARYLAND DEPARTMENT OF HEALTH, MDH",GOODWILL MENNONITE HOME,GOODWILL MENNONITE HOME,21536,5361931.26,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2018,"MARYLAND DEPARTMENT OF HEALTH, MDH",GOODWILL MENNONITE HOME,GOODWILL MENNONITE HOME,21536,5393067.87,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2019,"MARYLAND DEPARTMENT OF HEALTH, MDH",GOODWILL MENNONITE HOME,GOODWILL MENNONITE HOME,21536,5083507.3,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2020,"MARYLAND DEPARTMENT OF HEALTH, MDH",GOODWILL MENNONITE HOME,GOODWILL MENNONITE HOME,21536,5663436.78,1,2020 Jan 01 12:00:00 AM,M00
2021,"MARYLAND DEPARTMENT OF HEALTH, MDH",GOODWILL MENNONITE HOME,GOODWILL MENNONITE HOME,21536,5243184.51,1,2021 Jan 01 12:00:00 AM,M00
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,GOODWILL MENNONITE HOME,GOODWILL MENNONITE HOME,21536,15,1,2021 Jan 01 12:00:00 AM,R00
2022,"MARYLAND DEPARTMENT OF HEALTH, MDH",GOODWILL MENNONITE HOME,GOODWILL MENNONITE HOME,21536,5416161.8,1,2022 Jan 01 12:00:00 AM,M00
2023,MARYLAND DEPARTMENT OF HEALTH,GOODWILL MENNONITE HOME,GOODWILL MENNONITE HOME,21536,6411665.6,1,2023 Jan 01 12:00:00 AM,M00
2008,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,GOODWILL MENNONITE HOME INC,GOODWILL MENNONITE HOME INC,21536,3942125.52,1,2008 Jan 01 12:00:00 AM,Vendor Payment
2009,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,GOODWILL MENNONITE HOME INC,GOODWILL MENNONITE HOME INC,21536,3971387.89,1,2009 Jan 01 12:00:00 AM,Vendor Payment
2010,DEPARTMENT OF HEALTH AND MENTAL HYGIENE,GOODWILL MENNONITE HOME INC,GOODWILL MENNONITE HOME INC,21536,3904071.36,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2011,DHMH-GENERAL ACCOUNTING,GOODWILL MENNONITE HOME INC,GOODWILL MENNONITE HOME INC,21536,4102386.35,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2014,DHMH-GENERAL ACCOUNTING,GOODWILL MENNONITE HOME INC,GOODWILL MENNONITE HOME INC,21536,5057378.57,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2015,DHMH-GENERAL ACCOUNTING,GOODWILL MENNONITE HOME INC,GOODWILL MENNONITE HOME INC,21536,4505695.69,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2024,MARYLAND DEPARTMENT OF HEALTH,GOODWILL MENNONITE HOME INC,GOODWILL MENNONITE HOME INC,21536,5904781.02,1,2024 Jan 01 12:00:00 AM,M00
2025,MARYLAND DEPARTMENT OF HEALTH,GOODWILL MENNONITE HOME INC,GOODWILL MENNONITE HOME INC,21536,6674578.22,1,2025 Jan 01 12:00:00 AM,M00
2026,MARYLAND DEPARTMENT OF HEALTH,GOODWILL MENNONITE HOME INC,GOODWILL MENNONITE HOME INC,21536,3463034.38,1,2026 Jan 01 12:00:00 AM,M00
2019,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,GOVANS PRESBYTERIAN PRE-SCHOOL,GOVANS PRESBYTERIAN PRESCHOOL,21212,18950.73,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2019,MARYLAND STATE DEPARTMENT OF EDUCATION,GOVANS PRESBYTERIAN PRE-SCHOOL,GOVANS PRESBYTERIAN PRESCHOOL,21212,13420.6,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2021,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,GOVANS PRESBYTERIAN PRE-SCHOOL,GOVANS PRESBYTERIAN PRESCHOOL,21212,7758,1,2021 Jan 01 12:00:00 AM,614
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,GOVANS PRESBYTERIAN PRE-SCHOOL,GOVANS PRESBYTERIAN PRESCHOOL,21212,72970,1,2021 Jan 01 12:00:00 AM,R00
2022,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,GOVANS PRESBYTERIAN PRE-SCHOOL,GOVANS PRESBYTERIAN PRESCHOOL,21212,12543,1,2022 Jan 01 12:00:00 AM,614
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,GOVANS PRESBYTERIAN PRE-SCHOOL,GOVANS PRESBYTERIAN PRESCHOOL,21212,153507.4,1,2022 Jan 01 12:00:00 AM,R00
2023,STATE DEPARTMENT OF EDUCATION,GOVANS PRESBYTERIAN PRE-SCHOOL,GOVANS PRESBYTERIAN PRESCHOOL,21212,74828.3,1,2023 Jan 01 12:00:00 AM,R00
2024,IAC ON SCHOOL CONSTRUCTION - CAPITAL,GOVANS PRESBYTERIAN PRESCHOOL,GOVANS PRESBYTERIAN PRESCHOOL,21212,5000,1,2024 Jan 01 12:00:00 AM,614
2024,STATE DEPARTMENT OF EDUCATION,GOVANS PRESBYTERIAN PRESCHOOL,GOVANS PRESBYTERIAN PRESCHOOL,21212,62836,1,2024 Jan 01 12:00:00 AM,R00
2025,STATE DEPARTMENT OF EDUCATION,GOVANS PRESBYTERIAN PRESCHOOL,GOVANS PRESBYTERIAN PRESCHOOL,21212,37981.5,1,2025 Jan 01 12:00:00 AM,R00
2021,MILITARY DEPARTMENT,GRACE BIBLE BAPTIST CHURCH,GRACE BIBLE BAPTIST CHURCH,21228,51643,1,2021 Jan 01 12:00:00 AM,D50
2023,DEPARTMENT OF EMERGENCY MANAGEMENT,GRACE BIBLE BAPTIST CHURCH,GRACE BIBLE BAPTIST CHURCH,21228,99643.5,1,2023 Jan 01 12:00:00 AM,D52
2018,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,GRACE BRETHREN CHRISTIAN SCHOOL,GRACE BRETHREN CHRISTIAN SCHOOL,20735,27525,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2021,"MARYLAND DEPARTMENT OF HEALTH, MDH",GRACE EVANGELICAL LUTHERAN CHURCH,GRACE EVANGELICAL LUTHERAN CHURCH,21157,3846.74,1,2021 Jan 01 12:00:00 AM,M00
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,GRACE EVANGELICAL LUTHERAN CHURCH,GRACE EVANGELICAL LUTHERAN CHURCH,21157,46835,1,2021 Jan 01 12:00:00 AM,R00
2021,"MARYLAND DEPARTMENT OF HEALTH, MDH",GRACE FELLOWSHIP CHURCH,GRACE FELLOWSHIP CHURCH,21158,28984.17,1,2021 Jan 01 12:00:00 AM,M00
2021,"MARYLAND DEPARTMENT OF HEALTH, MDH",GRACE LUTHERAN CHURCH,GRACE LUTHERAN CHURCH,20646,10000,1,2021 Jan 01 12:00:00 AM,M00
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,GRACE LUTHERAN CHURCH,GRACE LUTHERAN CHURCH,20646,51554.95,1,2021 Jan 01 12:00:00 AM,R00
2023,STATE DEPARTMENT OF EDUCATION,GRACE LUTHERAN CHURCH,GRACE LUTHERAN CHURCH,20646,60236,1,2023 Jan 01 12:00:00 AM,R00
2022,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,GRACE LUTHERAN PRESCHOOL AND EXTENDED CARE CENTER,GRACE LUTHERAN PRESCHOOL AND EXTENDED CARE CENTER,20646,21866,1,2022 Jan 01 12:00:00 AM,614
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,GRACE LUTHERAN PRESCHOOL AND EXTENDED CARE CENTER,GRACE LUTHERAN PRESCHOOL AND EXTENDED CARE CENTER,20646,89715.94,1,2022 Jan 01 12:00:00 AM,R00
2025,STATE DEPARTMENT OF EDUCATION,GRACE LUTHERAN PRESCHOOL AND EXTENDED CARE CENTER,GRACE LUTHERAN PRESCHOOL AND EXTENDED CARE CENTER,20646,25733.8,1,2025 Jan 01 12:00:00 AM,R00
2008,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,GRACE UNITED METHODIST CHURCH,GRACE UNITED METHODIST CHURCH,21613,35790.23,1,2008 Jan 01 12:00:00 AM,Vendor Payment
2009,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,GRACE UNITED METHODIST CHURCH,GRACE UNITED METHODIST CHURCH,21613,46609.3,1,2009 Jan 01 12:00:00 AM,Vendor Payment
2010,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,GRACE UNITED METHODIST CHURCH,GRACE UNITED METHODIST CHURCH,21613,43747.09,1,2010 Jan 01 12:00:00 AM,Vendor Payment
2011,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,GRACE UNITED METHODIST CHURCH,GRACE UNITED METHODIST CHURCH,21613,39501.99,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2012,DEPARTMENT OF HUMAN RESOURCES,GRACE UNITED METHODIST CHURCH,GRACE UNITED METHODIST CHURCH,21613,350,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2012,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,GRACE UNITED METHODIST CHURCH,GRACE UNITED METHODIST CHURCH,21613,43093.08,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2013,DEPARTMENT OF HUMAN RESOURCES,GRACE UNITED METHODIST CHURCH,GRACE UNITED METHODIST CHURCH,21613,350,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2013,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,GRACE UNITED METHODIST CHURCH,GRACE UNITED METHODIST CHURCH,21613,44666.35,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2014,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,GRACE UNITED METHODIST CHURCH,GRACE UNITED METHODIST CHURCH,21613,33028.3,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2015,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,GRACE UNITED METHODIST CHURCH,GRACE UNITED METHODIST CHURCH,21613,36331.13,1,2015 Jan 01 12:00:00 AM,Vendor Payment
2016,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,GRACE UNITED METHODIST CHURCH,GRACE UNITED METHODIST CHURCH,21613,46239.62,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2017,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,GRACE UNITED METHODIST CHURCH,GRACE UNITED METHODIST CHURCH,21613,39633.96,1,2017 Jan 01 12:00:00 AM,Vendor Payment
2018,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,GRACE UNITED METHODIST CHURCH,GRACE UNITED METHODIST CHURCH,21613,36331.13,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2019,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,GRACE UNITED METHODIST CHURCH,GRACE UNITED METHODIST CHURCH,21613,44047.07,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2020,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,GRACE UNITED METHODIST CHURCH,GRACE UNITED METHODIST CHURCH,21613,36965.75,1,2020 Jan 01 12:00:00 AM,S00
2021,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,GRACE UNITED METHODIST CHURCH,GRACE UNITED METHODIST CHURCH,21613,45218.54,1,2021 Jan 01 12:00:00 AM,S00
2022,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,GRACE UNITED METHODIST CHURCH,GRACE UNITED METHODIST CHURCH,21613,39955.42,1,2022 Jan 01 12:00:00 AM,S00
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,GRACE UNITED METHODIST PRE-SCH,GRACE UNITED METHODIST PRE-SCH,21210,43100,1,2021 Jan 01 12:00:00 AM,R00
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,GRACE UNITED METHODIST PRE-SCH,GRACE UNITED METHODIST PRE-SCH,21210,87600,1,2022 Jan 01 12:00:00 AM,R00
2023,STATE DEPARTMENT OF EDUCATION,GRACE UNITED METHODIST PRESCHOOL,GRACE UNITED METHODIST PRESCHOOL,21210,36100,1,2023 Jan 01 12:00:00 AM,R00
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,GRANITE BAPTIST PRESCHOOL AND EXTENDED CARE,GRANITE BAPTIST PRESCHOOL AND EXTENDED CARE,21061,56795,1,2021 Jan 01 12:00:00 AM,R00
2019,"MARYLAND DEPARTMENT OF HEALTH, MDH",GREATER NEW HOPE CHURCH & MINISTRIES,GREATER NEW HOPE CHURCH & MINISTRIES,21655,39867,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2020,"MARYLAND DEPARTMENT OF HEALTH, MDH",GREATER NEW HOPE CHURCH & MINISTRIES,GREATER NEW HOPE CHURCH & MINISTRIES,21655,186195.95,1,2020 Jan 01 12:00:00 AM,M00
2021,"MARYLAND DEPARTMENT OF HEALTH, MDH",GREATER NEW HOPE CHURCH & MINISTRIES,GREATER NEW HOPE CHURCH & MINISTRIES,21655,90884.88,1,2021 Jan 01 12:00:00 AM,M00
2022,"MARYLAND DEPARTMENT OF HEALTH, MDH",GREATER NEW HOPE CHURCH & MINISTRIES,GREATER NEW HOPE CHURCH & MINISTRIES,21655,144376.1,1,2022 Jan 01 12:00:00 AM,M00
2023,MARYLAND DEPARTMENT OF HEALTH,GREATER NEW HOPE CHURCH & MINISTRIES,GREATER NEW HOPE CHURCH & MINISTRIES,21655,71776.62,1,2023 Jan 01 12:00:00 AM,M00
2024,MARYLAND DEPARTMENT OF HEALTH,GREATER NEW HOPE CHURCH & MINISTRIES,GREATER NEW HOPE CHURCH & MINISTRIES,21655,51000,1,2024 Jan 01 12:00:00 AM,M00
2025,MARYLAND DEPARTMENT OF HEALTH,GREATER NEW HOPE CHURCH & MINISTRIES,GREATER NEW HOPE CHURCH & MINISTRIES,21655,127634.44,1,2025 Jan 01 12:00:00 AM,M00
2026,MARYLAND DEPARTMENT OF HEALTH,GREATER NEW HOPE CHURCH & MINISTRIES,GREATER NEW HOPE CHURCH & MINISTRIES,21655,32066.46,1,2026 Jan 01 12:00:00 AM,M00
2026,GOV OFFICE CRIME PREVENTION AND POLICY,GREENSPRING SEPHARDIC SYNAGOGUE,GREENSPRING SEPHARDIC SYNAGOGUE,21209,82492,1,2026 Jan 01 12:00:00 AM,D21
2014,MARYLAND STATE DEPARTMENT OF EDUCATION,GREENSPRING VALLEY SYNAGOGUE & CENTER,GREENSPRING VALLEY SYNAGOGUE & CENTER,21209,2062.9,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2014,MILITARY DEPARTMENT,GREENSPRING VALLEY SYNAGOGUE & CENTER,GREENSPRING VALLEY SYNAGOGUE & CENTER,21209,34143,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2018,MARYLAND STATE DEPARTMENT OF EDUCATION,GREENSPRING VALLEY SYNAGOGUE & CENTER,GREENSPRING VALLEY SYNAGOGUE & CENTER,21209,18140.14,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2018,MILITARY DEPARTMENT,GREENSPRING VALLEY SYNAGOGUE & CENTER,GREENSPRING VALLEY SYNAGOGUE & CENTER,21209,41873,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2011,MARYLAND STATE DEPARTMENT OF EDUCATION,GREGORY DAY CARE AT BRIGHT LIGHT BAPTIST,GREGORY DAY CARE AT BRIGHT LIGHT BAPTIST,20901,58565.23,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2012,MARYLAND STATE DEPARTMENT OF EDUCATION,GREGORY DAY CARE AT BRIGHT LIGHT BAPTIST,GREGORY DAY CARE AT BRIGHT LIGHT BAPTIST,20901,79847.16,1,2012 Jan 01 12:00:00 AM,Vendor Payment
2013,MARYLAND STATE DEPARTMENT OF EDUCATION,GREGORY DAY CARE AT BRIGHT LIGHT BAPTIST,GREGORY DAY CARE AT BRIGHT LIGHT BAPTIST,20901,67579.47,1,2013 Jan 01 12:00:00 AM,Vendor Payment
2014,MARYLAND STATE DEPARTMENT OF EDUCATION,GREGORY DAY CARE AT BRIGHT LIGHT BAPTIST,GREGORY DAY CARE AT BRIGHT LIGHT BAPTIST,20901,38634.97,1,2014 Jan 01 12:00:00 AM,Vendor Payment
2016,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,HAVENWOOD PRESBYTERIAN CHURCH,HAVENWOOD PRESBYTERIAN CHURCH,21093,44005,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2016,MARYLAND STATE DEPARTMENT OF EDUCATION,HAVENWOOD PRESBYTERIAN CHURCH,HAVENWOOD PRESBYTERIAN CHURCH,21093,3790.88,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2025,DEPARTMENT OF EMERGENCY MANAGEMENT,HERITAGE BAPTIST CHURCH,HERITAGE BAPTIST CHURCH,21401,102100,1,2025 Jan 01 12:00:00 AM,D52
2025,DEPARTMENT OF HUMAN SERVICES,HERITAGE BAPTIST CHURCH,HERITAGE BAPTIST CHURCH,21401,6401,1,2025 Jan 01 12:00:00 AM,N00
2025,STATE DEPARTMENT OF EDUCATION,HERITAGE BAPTIST CHURCH,HERITAGE BAPTIST CHURCH,21401,43722.5,1,2025 Jan 01 12:00:00 AM,R00
2025,DEPARTMENT OF EMERGENCY MANAGEMENT,HISTORIC REHOBOTH CHURCH OF GOD,HISTORIC REHOBOTH CHURCH OF GOD,21216,26330.65,1,2025 Jan 01 12:00:00 AM,D52
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,"HOLY ANGELS CATHOLIC SCHOOL, INC.","HOLY ANGELS CATHOLIC SCHOOL, INC.",21227,38652.36,1,2022 Jan 01 12:00:00 AM,R00
2016,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,HOLY CROSS CHURCH,HOLY CROSS CHURCH,20896,23780,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2016,MARYLAND STATE DEPARTMENT OF EDUCATION,HOLY CROSS CHURCH,HOLY CROSS CHURCH,20896,2941.75,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2019,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,HOLY CROSS CHURCH,HOLY CROSS CHURCH,20896,26299,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2019,MARYLAND STATE DEPARTMENT OF EDUCATION,HOLY CROSS CHURCH,HOLY CROSS CHURCH,20896,3181.71,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,HOLY CROSS CHURCH,HOLY CROSS CHURCH,20896,66979.97,1,2022 Jan 01 12:00:00 AM,R00
2023,STATE DEPARTMENT OF EDUCATION,HOLY CROSS CHURCH,HOLY CROSS CHURCH,20896,49168.45,1,2023 Jan 01 12:00:00 AM,R00
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,HOLY CROSS LUTHERAN PRESCHOOL,HOLY CROSS LUTHERAN PRESCHOOL,21286,45000,1,2022 Jan 01 12:00:00 AM,R00
2024,GOV OFFICE CRIME PREVENTION AND POLICY,HOLY FAMILY CATHOLIC CHURCH,HOLY FAMILY CATHOLIC CHURCH,21035,100000,1,2024 Jan 01 12:00:00 AM,D21
2025,DEPARTMENT OF EMERGENCY MANAGEMENT,HOLY FAMILY CATHOLIC CHURCH,HOLY FAMILY CATHOLIC CHURCH,21035,149702,1,2025 Jan 01 12:00:00 AM,D52
